Product Name,Unit Price,Unit Type,Category,Description
Basic Roof Tiles,15.50,per square meter,Roofing,Standard clay roof tiles
Premium Roof Tiles,28.00,per square meter,Roofing,High-quality slate tiles
Labor - Installation,45.00,per hour,Labor,Professional roofing installation
Guttering System,12.80,per linear meter,Guttering,Standard PVC guttering
Downspouts,8.50,per linear meter,Guttering,PVC downspout pipes
Flashing,6.20,per linear meter,Roofing,Metal flashing for waterproofing
Roof Membrane,22.00,per square meter,Roofing,Waterproof membrane
Ridge Tiles,18.50,per linear meter,Roofing,Clay ridge tiles
Scaffolding,3.50,per square meter per day,Equipment,Safety scaffolding rental
Waste Removal,150.00,per skip,Services,Construction waste removal
Project Management,85.00,per hour,Services,Project supervision and coordination 